belongs_to_collection,release_date,title,vote_average
,8/22/2000,Prison of the Dead,1.7
,1/1/1988,Rabid Grannies,4.2
,10/4/2013,Muhammad Ali's Greatest Fight,5.9
,7/1/1950,711 Ocean Drive,6.1
,4/2/2011,A Cadaver Christmas,6.1
"{'id': 161314, 'name': 'The Angel Collection', 'poster_path': '/q52KwBiFKkXKqVKb8t2Ob68mBxS.jpg', 'backdrop_path': None}",4/19/1984,Angel,5.9
,4/24/2005,Favela Rising,4.7
,1/23/2013,Mariage à Mendoza,5
,9/26/1980,Germany Pale Mother,7.8
,10/2/2013,Parkland,5.8
,4/12/2012,Imagine,7.3
,1/19/2013,Inequality for All,7.6
,11/13/1970,Narrien Illat,0
,7/10/2010,Sword of Desperation,7
,2/1/2013,The Mooring,4.8
,4/1/1968,Bride of the Earth,5
,1/1/1987,A Tale from the Past,8
,6/19/1964,Men and Women,5
,4/9/1966,Jesse James Meets Frankenstein's Daughter,4.7
,5/23/2013,On the Job,6.2
,1/1/2009,Resurrecting the Street Walker,4
,4/16/2010,Adventures of a Teenage Dragonslayer,4.1
,10/6/2007,Alice Upside Down,6.1
,1/1/1972,Alice's Adventures in Wonderland,5.6
"{'id': 177467, 'name': 'Cloudy with a Chance of Meatballs Collection', 'poster_path': '/pRAzOs9cZN8LlhaCKo6LQ0bSfyi.jpg', 'backdrop_path': '/eANL41F9Zp1xHMD6VnHnD3QS7ui.jpg'}",9/26/2013,Cloudy with a Chance of Meatballs 2,6.4
,9/5/2013,Extraction,5.5
,1/26/2011,Microphone,8.5
,11/30/2012,Talaash,6.7
,1/1/1971,Blood Shack,1.8
,1/12/2011,Nobody Else But You,5.9
,3/29/1985,Almost You,5.5
,11/10/2005,Dirty,5.1
,3/12/2011,The Dish & the Spoon,5.9
,7/21/2013,Kumail Nanjiani: Beta Male,6.1
,3/21/1962,The Christian Revolt,5
,5/19/2008,The Devil's Ground,4.3
,10/10/2013,Captain Phillips,7.6
,1/1/1999,Television Under The Swastika,0
,12/27/1978,Les Misérables,6.1
,7/6/2013,After the Dark,6.2
,5/24/2013,It's Me It's Me,5.9
,10/30/1979,Year Zero: The Silent Death of Cambodia,7.5
,1/1/2004,Stealing a Nation,10
,2/12/2012,The Wall,6.7
,11/22/1972,They Only Kill Their Masters,0
,1/19/2013,Valentine Road,6.8
"{'id': 140910, 'name': 'All Dogs Go to Heaven Collection', 'poster_path': '/yzuYenLnjAHbTPeu7DLAySbcNGi.jpg', 'backdrop_path': '/5JaMQn0PtPWGDIeGV8oqXSvJDKk.jpg'}",11/17/1998,An All Dogs Christmas Carol,5.2
,10/6/2010,Another Harvest Moon,6
,2/24/2012,Fanatics,5.9
,11/5/2010,Beneath the Dark,5
"{'id': 25542, 'name': 'An American Girl Collection', 'poster_path': '/5JpcRXXuFSgYUgtSKvcdQE9LaMS.jpg', 'backdrop_path': '/1jt2T8oHR1NlzXr7TmSp0Ly9m9D.jpg'}",7/14/2012,An American Girl: McKenna Shoots for the Stars,6.7
,11/5/1955,Sincerely Yours,5
,2/10/2009,Are You Scared 2,2.7
,5/18/1954,Attila,5.5
,10/5/2007,Look,5.9
,4/9/2006,Avenger,4.8
,10/29/2011,Zombie Apocalypse,3.7
,10/2/1987,Zombie High,3.8
,1/24/1991,Voodoo Dawn,2.3
"{'id': 210006, 'name': 'Machete Collection', 'poster_path': '/7kN9MY7htPG0sI598VJK2pB6zEs.jpg', 'backdrop_path': '/vURYjEnOd8if3juhZh6HRcTJs7T.jpg'}",9/12/2013,Machete Kills,5.3
,9/11/2011,I am Fishead,4
,9/23/2013,Filth,6.8
,10/1/1965,Onnenpeli,6
,9/12/2013,Romeo & Juliet,6.6
,10/2/2008,Drona,2.6
"{'id': 90031, 'name': 'Inner Sanctum mysteries', 'poster_path': None, 'backdrop_path': None}",12/17/1943,Calling Dr. Death,7.7
,10/3/2013,Sunshine on Leith,6.6
,1/1/2006,Wild Seven,3.8
"{'id': 90031, 'name': 'Inner Sanctum mysteries', 'poster_path': None, 'backdrop_path': None}",6/1/1945,The Frozen Ghost,6.7
,12/7/1992,Four Eyes and Six-Guns,0
,9/27/2013,Baggage Claim,5.6
,10/11/2013,Zero Charisma,6.1
,5/23/2008,Parking,7.7
,5/19/2012,Stitches,5.5
,10/9/2013,Escape Plan,6.7
"{'id': 90031, 'name': 'Inner Sanctum mysteries', 'poster_path': None, 'backdrop_path': None}",3/2/1944,Weird Woman,6.5
,12/19/1991,Dances with Dragon,6.5
,10/22/2006,Unrest,5.3
,9/17/2012,Haute Cuisine,6.1
,5/31/2013,Brazilian Western,6.1
,7/19/2012,How to Meet Girls from a Distance,4.3
,5/14/2010,Just Wright,6
,11/25/2011,My Grandfather's People,8.1
,2/22/1967,The Thief of Paris,6.4
,1/26/2001,Family Secrets,4.5
,10/16/2013,Carrie,5.8
,8/21/1968,The Legend of Lylah Clare,7.3
,10/11/2013,The Fifth Estate,5.7
,10/21/2013,Life According to Sam,6.5
,3/8/2013,Unhung Hero,5.5
,5/28/1945,A Place of One's Own,4.3
,3/17/2011,Superclásico,6.3
,10/25/2013,The Counselor,5
,1/1/1992,The Bikini Carwash Company,4.5
,1/3/1984,Bloodsuckers from Outer Space,4.8
,11/2/1976,Bloodsucking Freaks,4.9
,1/29/2010,Cinema Komunisto,5
,5/26/1993,One Nation Under God,0
,5/16/2013,The Congress,6.4
,9/1/1958,Earth vs. the Spider,4.7
,2/18/1910,A Trip to Mars,7
,2/14/2013,One Small Hitch,6.5
,4/1/1943,A Stranger in Town,7
"{'id': 121195, 'name': '9½ Weeks Collection', 'poster_path': '/kx0VUFPvAMTesOY1ymkxbBJAmQL.jpg', 'backdrop_path': '/lwajd7A0z7WQ132S0sot6YjFzBU.jpg'}",6/12/1997,Another 9 1/2 Weeks,4.4
,3/14/1941,Back in the Saddle,0
,12/13/2013,The Unbelievers,6.7
,10/11/2013,Escape from Tomorrow,4.8
,8/8/1965,Frankenstein Conquers the World,5.8
,6/4/2009,Episode 3: Enjoy Poverty,4.2
"{'id': 374512, 'name': 'Godzilla (Millennium) Collection', 'poster_path': '/v9fV11I7KVP9xa6UWvW2YlGtErD.jpg', 'backdrop_path': '/hhUQwi9Z7wE2kwwC1AM1AE418oU.jpg'}",11/3/2000,Godzilla vs. Megaguirus,5.6
"{'id': 374509, 'name': 'Godzilla (Showa) Collection', 'poster_path': '/scvwS6k8gIW8w24UcmePQqVL10l.jpg', 'backdrop_path': '/dx9YSup5zEOjxYwG4UkYBVAZIXo.jpg'}",3/17/1973,Godzilla vs. Megalon,5.6
,9/14/2010,Undocumented,6.6
"{'id': 462565, 'name': 'The Secret Garden Collection', 'poster_path': '/zy16gzORcFshGK3oE9W6dhQ8yRZ.jpg', 'backdrop_path': '/tpNVr5BikRH4tkNJPbYM6Q9yD1a.jpg'}",1/1/2001,Back To The Secret Garden,5.8
,5/30/1955,Cult of the Cobra,5.9
,1/13/1953,Jealousy,8
"{'id': 171732, 'name': 'Mothra Collection', 'poster_path': '/kMSObvrtL3skfmcF7QshfRMy2Po.jpg', 'backdrop_path': None}",12/14/1996,Rebirth of Mothra,6
,5/2/1991,Bloodsucking Pharaohs in Pittsburgh,4.3
,5/25/2012,Bloody Bloody Bible Camp,5.3
,5/11/1987,Bloody New Year,6.5
,4/4/2014,The Double,6.5
"{'id': 374511, 'name': 'Godzilla (Heisei) Collection', 'poster_path': '/A25nYpiBlYlGdJSuAfN9oJ9Li39.jpg', 'backdrop_path': '/4Y5IXrcWuK1wA3PbeNU5y6Qd3zF.jpg'}",12/10/1994,Godzilla vs. SpaceGodzilla,5.6
,4/23/2013,Deep Dark Canyon,5
,10/18/2013,12 Years a Slave,7.9
,3/2/2013,Only Daughter,0
,10/21/2011,The Trouble with the Truth,6.3
,10/11/2013,The Right Kind of Wrong,6
,3/8/2013,Child's Pose,6.6
,11/13/2013,The Enemy Within,6
,10/4/2013,Kill Your Darlings,7.1
,9/5/1981,The Killing of America,7.7
,12/8/2005,Being Cyrus,5.7
,9/9/2007,Buddha Collapsed Out of Shame,7.3
,4/6/2011,Debtocracy,5.9
,4/1/2011,August,6
,1/1/2011,Mía,7.7
,1/1/1956,Silja - nuorena nukkunut,0
,12/10/2004,Watermarks,0
,10/18/2013,Heart of a Lion,6.4
,10/31/2009,Rosas Höllenfahrt,0
,1/1/2009,Kimjongilia,5.5
,1/3/2008,Backwoods,3.5
,9/2/2008,Bait Shop,4.5
,1/12/2012,Barrio Tales,4.2
,10/23/2012,The Day of the Crows,6.7
,8/1/1970,Space Amoeba,5
,12/7/1962,Varan the Unbelievable,4.3
,4/23/2013,Bridegroom,7.5
,7/29/2002,29 Palms,5.6
,8/1/1989,Alien Space Avenger,1.5
,10/6/2003,Miracle Run,7.1
,10/25/2013,Spinning Plates,5.6
,10/18/2013,All Is Lost,6.6
"{'id': 90031, 'name': 'Inner Sanctum mysteries', 'poster_path': None, 'backdrop_path': None}",12/14/1945,Pillow of Death,6.5
"{'id': 171732, 'name': 'Mothra Collection', 'poster_path': '/kMSObvrtL3skfmcF7QshfRMy2Po.jpg', 'backdrop_path': None}",12/13/1997,Rebirth of Mothra II,5.7
"{'id': 171732, 'name': 'Mothra Collection', 'poster_path': '/kMSObvrtL3skfmcF7QshfRMy2Po.jpg', 'backdrop_path': None}",12/12/1998,Rebirth of Mothra III,6.1
,9/7/2012,Arthur Newman,5.6
,5/29/1999,Inherit the Wind,7.1
,7/22/2010,A Little Help,5.3
,6/15/1966,Assault on a Queen,4.3
,11/22/1985,Bad Medicine,4.5
,1/1/1995,Running Wild,10
,1/1/1991,The Borrower,4.3
,12/28/1994,Boulevard,3.7
,3/14/2010,Man On a Mission: Richard Garriott's Road to the Stars,5
,11/17/2011,The Substance: Albert Hofmann's LSD,6.6
,11/15/1999,Bartok the Magnificent,5.8
,10/23/2013,Ender's Game,6.6
,10/30/1963,Maniac,6.4
,1/1/1994,Breaking Point,0
,2/12/2013,The Blue Umbrella,7.8
,5/28/2010,Hello! How Are You?,7
,7/17/2013,TWA Flight 800,5.3
,10/15/2013,Toy Story of Terror!,7.3
,2/22/1935,Folies Bergère de Paris,5
,9/6/1946,The Thrill of Brazil,7
,8/11/2013,The Last Days on Mars,5.2
,5/4/1982,The Escape Artist,5.3
,1/28/1985,Four Days in July,6.5
,8/17/2012,Death By China,4.5
,10/9/2013,The Verdict,6.2
,11/12/1998,Wind with the Gone,5.8
,6/6/2007,Conversations with My Gardener,6.4
"{'id': 17178, 'name': 'Jackass Collection', 'poster_path': '/olpnvtLgoScLiCg3YHJ3f27F98f.jpg', 'backdrop_path': '/lidPLbyE1JCUacEDOzkTCncCPBL.jpg'}",10/22/2013,Bad Grandpa,6
"{'id': 259256, 'name': 'Race Collection', 'poster_path': '/AhWQp7QskpVwNjlqNMMBu4FTbaM.jpg', 'backdrop_path': '/6IGJVSafLNIVFUCXnWcrc5NixZQ.jpg'}",3/20/2008,Race,5.8
,4/22/2012,Freaky Deaky,4.9
"{'id': 131296, 'name': 'Thor Collection', 'poster_path': '/yw7gr7DhHHVTLlO8Se8uH17TDMA.jpg', 'backdrop_path': '/3KL8UNKFWgIKXzLHjwY0uwgjzYl.jpg'}",10/29/2013,Thor: The Dark World,6.8
,7/1/1976,The Great Texas Dynamite Chase,5.8
,1/1/1970,Fragment of Fear,4.9
,10/6/2011,Shock and Awe: The Story of Electricity,0
,9/10/2008,Tortured,5.3
,7/29/2008,Disfigured,4
"{'id': 374512, 'name': 'Godzilla (Millennium) Collection', 'poster_path': '/v9fV11I7KVP9xa6UWvW2YlGtErD.jpg', 'backdrop_path': '/hhUQwi9Z7wE2kwwC1AM1AE418oU.jpg'}",12/13/2003,Godzilla: Tokyo S.O.S.,5.9
,9/7/2013,Dallas Buyers Club,7.9
,11/7/2012,Gambit,5.1
,9/12/2012,Masquerade,7.4
,10/7/2013,Marc Maron: Thinky Pain,7.8
,1/1/2008,Such Hawks Such Hounds,6.8
,2/24/2011,Lessons of a Dream,7
,12/9/2009,Clash,4.9
,8/31/2010,Beatdown,5.3
,4/3/2011,You May Not Kiss the Bride,5.6
,,Bad Chicken,0
,5/16/2013,The Selfish Giant,7.2
,1/7/2008,Changing Sides,5.3
,8/3/2012,London: The Modern Babylon,7.2
,11/21/1990,The Discreet,5.5
,11/9/2012,Bekas,6.6
,10/4/2013,A Touch of Sin,7.3
,8/10/2012,More Than Honey,6.9
,11/8/1996,The Man Who Captured Eichmann,4.3
,6/1/1994,Les patriotes,6.4
,1/1/2011,Looking for Lenny,4
,3/30/1924,Beau Brummel,8.5
,2/9/1954,Red Garters,0
,6/22/2006,Les Formidables,0
,9/10/2013,How I Live Now,6.4
,9/7/2012,Girl Most Likely,5.7
,11/29/2013,Hours,6.3
,5/3/2013,Free the Mind,6.2
,9/5/2012,Pieta,6.9
,2/23/2013,Stuck,5.5
,9/23/2012,Errors of the Human Body,5.6
,1/9/2006,Root of All Evil?,7.7
,8/20/2010,What if...,6.2
,11/1/2013,Aziz Ansari: Buried Alive,7.4
,3/20/2012,Aziz Ansari: Dangerously Delicious,7.4
,1/19/2006,24 Hours On Craigslist,0
,9/20/2011,Clandestine Childhood,6.4
,12/22/2010,Libre échange,4
,8/3/2012,Free Radicals: A History of Experimental Film,8
,5/5/1950,The Reformer and the Redhead,0
,11/30/2012,Great Expectations,6.3
,6/21/2013,Somm,7.1
,11/2/2012,Amber Alert,5
,10/30/2013,Free Birds,5.7
"{'id': 374512, 'name': 'Godzilla (Millennium) Collection', 'poster_path': '/v9fV11I7KVP9xa6UWvW2YlGtErD.jpg', 'backdrop_path': '/hhUQwi9Z7wE2kwwC1AM1AE418oU.jpg'}",11/2/2002,Godzilla Against MechaGodzilla,6.8
,7/26/1969,Latitude Zero,4.3
,8/17/1990,Little Ninjas,4
,8/11/2010,Boy Wonder,6.4
,4/12/1998,The Day Lincoln Was Shot,6
,10/5/2004,Beautiful Dreamer: Brian Wilson and the Story of Smile,7.3
,10/1/1952,Because You're Mine,6
,12/10/2010,Bed & Breakfast,3.4
,10/1/1994,The Crew,4
,9/25/1991,Breathing Fire,6.6
,8/5/2005,Bailey's Billion$,4
,8/5/1964,The Castle of the Living Dead,6.5
,9/16/1956,The Sword and the Dragon,5.3
,10/15/1959,The Day the Earth Froze,2
,12/24/2003,Silmido,6.6
,9/7/2004,Snowball Effect: The Story of Clerks,8.9
,5/16/2007,In Tranzit,6.2
,7/19/2001,The Breed,4
,1/1/2011,Beautiful Wave,3.8
,2/1/2013,Things We Do for Love,5
,10/31/2013,Last Vegas,6.4
,9/27/2013,Muscle Shoals,7.2
,4/25/2013,So Young,6.1
,8/29/1957,The Third Sex,5.5
,11/7/2013,The Starving Games,4.1
,3/31/1976,W.C. Fields and Me,8
,6/25/2002,Outside the Law,3.1
,9/1/1958,Apache Territory,4.7
,,Holes in My Shoes,0
,12/1/2012,Apartment 4E,7
,3/20/1974,The Super Cops,6.2
,8/27/2011,Panic Button,5.2
,10/9/2012,Painless,6.1
,2/18/1983,The Lords of Discipline,6.5
,7/26/1976,Won Ton Ton: the Dog Who Saved Hollywood,3.3
,1/1/1998,The Fairy King Of Ar,5
,9/12/1995,A Bucket of Blood,4.3
,12/8/1998,Buttcrack,3.4
,2/13/2010,Card Subject To Change,4.3
,5/30/2006,Stephen Tobolowsky's Birthday Party,6.7
,1/1/1974,The Wonderful Crook,5.2
,4/14/2004,Cash Truck,6.4
,10/7/2006,The Conclave,6.5
,3/11/2011,Making the Boys,0
,5/20/2013,Seduced and Abandoned,6.7
,6/19/2011,Absent,6.6
,10/11/2013,The Institute,5.8
,3/9/2012,Dreamworld,5.9
,1/19/2007,Chasing Ghosts: Beyond the Arcade,6.7
,1/1/1987,Chillers,3.5
,5/18/2013,For Those in Peril,5.9
,11/1/2013,Philomena,7.4
,11/8/2013,The Book Thief,7.4
"{'id': 243598, 'name': 'The Best Man Collection', 'poster_path': '/8bFCMCJ6rlOzkgVFk3v54Mmkbs9.jpg', 'backdrop_path': None}",11/15/2013,The Best Man Holiday,6.7
,10/10/2009,Chicago Overcoat,6.1
,10/25/2013,Ida,7.1
,12/24/2012,Metal Brothers,4.5
,1/1/1953,The Tiger from Tjampa,5
,1/1/1956,The Curse of the Oily Maniac,0
,1/1/1953,Parineeta,0
,10/19/2013,Aningaaq,7.1
,5/5/1924,The White Shadow,10
"{'id': 23456, 'name': 'One Piece Collection', 'poster_path': '/nvAPotUDNcKStSOv2ojGZBNOX8A.jpg', 'backdrop_path': '/3RqSKjokWlXyTBUt3tcR9CrOG57.jpg'}",12/12/2009,One Piece Film Strong World,7.4
"{'id': 23456, 'name': 'One Piece Collection', 'poster_path': '/nvAPotUDNcKStSOv2ojGZBNOX8A.jpg', 'backdrop_path': '/3RqSKjokWlXyTBUt3tcR9CrOG57.jpg'}",12/15/2012,One Piece Film Z,7.2
,3/10/2010,Caught Inside,5.8
,11/13/1957,All Mine to Give,5.9
"{'id': 279445, 'name': ""China O'Brien Collection"", 'poster_path': '/xjDImequBMIj7PkueGsQ2k3r4In.jpg', 'backdrop_path': None}",1/1/1990,China O'Brien,6.5
"{'id': 131635, 'name': 'The Hunger Games Collection', 'poster_path': '/ttbKy12hDjSHQcM7sCoeW1WsDlW.jpg', 'backdrop_path': '/zWiiLNg8yXv0he3tCH6XignPaYV.jpg'}",11/15/2013,The Hunger Games: Catching Fire,7.4
"{'id': 121938, 'name': 'The Hobbit Collection', 'poster_path': '/hm2VtxeCBqWJnPNmvXPPXiHydyp.jpg', 'backdrop_path': '/7wO7MSnP5UcwR2cTHdJFF1vP4Ie.jpg'}",12/11/2013,The Hobbit: The Desolation of Smaug,7.6
,12/6/2013,47 Ronin,5.9
,1/1/1973,The Scarlet Letter,6
,2/6/2013,The Girl from Nowhere,6.2
,12/20/1952,The Magic Voyage of Sinbad,4.5
,8/23/2010,The Chameleon,4.8
,1/1/2007,The Enemies of Reason,7.5
,4/18/1994,World War II: When Lions Roared,0
,2/27/2013,The Dyatlov Pass Incident,5.7
,4/9/1974,"It's the Easter Beagle, Charlie Brown",4.9
,1/9/2009,Vali,7.5
,1/1/2009,On Modern Servitude,9
,12/12/2010,WikiRebels: The Documentary,7
,9/8/1960,Beyond the Time Barrier,6
,9/1/1961,The Flight That Disappeared,4.8
,1/22/1943,The Crystal Ball,6
,12/16/1968,Flesh,7
,10/10/2013,Delivery Man,6.2
,2/9/2013,Charlie Countryman,6.4
,3/27/1992,Back to the USSR,5
,2/8/2008,Bad Biology,4.7
"{'id': 246091, 'name': 'Krrish Collection', 'poster_path': '/h5lAktTIgcTyTrMMAY6Fa5mZ6Mh.jpg', 'backdrop_path': '/5LPLQgoIY2n0PDCEaOPUQuFksUV.jpg'}",11/1/2013,Krrish 3,5.8
,8/15/1974,Once Upon a Scoundrel,0
,1/1/1966,Emotion,6.6
,9/20/2013,Tales from the Organ Trade,6.8
,9/15/1942,Bells of Capistrano,0
,5/1/1948,Berlin Express,5.6
,1/7/2013,Hansel & Gretel,4.7
,9/17/2010,The Happy Poet,6.5
,7/15/2012,Red Flag,4
,9/4/2013,Breakout,4.3
,1/1/1994,Creatures from the Abyss,5.3
,12/13/1994,Shatter Dead,4
,6/1/1994,The Club,3.2
,11/29/1996,The Christmas Party,5
,8/1/1977,End of the World,4.7
,5/12/2001,My Louisiana Sky,2
,5/25/1972,Z.P.G.,5.9
,9/13/2012,Twice Born,6.9
,2/25/2008,A Raisin in the Sun,5.4
,11/6/1957,The Story of Esther Costello,6.5
,3/19/2010,A Somewhat Gentle Man,6.4
,9/30/2011,Guilty of Romance,6.8
,8/9/1990,Club Fed,0
,8/18/1994,Crackerjack,2
,4/12/1985,Crime Wave,5.9
,7/6/2011,The Wankers,7
,1/18/2010,Zero 2,5.8
,10/18/2010,José & Pilar,7.6
,12/26/2000,Crocodile,4.9
,3/8/1948,The Mating of Millie,6.7
"{'id': 386382, 'name': 'Frozen Collection', 'poster_path': '/dIaff79mnD2rf1LGkUfWYyZUSZj.jpg', 'backdrop_path': '/vZiqhw6oFoMlHSneIdVip9rRou2.jpg'}",11/27/2013,Frozen,7.3
"{'id': 160677, 'name': 'Ninja, Band of Assassins Collection', 'poster_path': '/jZ9wA4Cr1UeCZSBz3Uz3XaLo7dr.jpg', 'backdrop_path': None}",12/1/1962,Ninja 1,6.5
,1/1/2007,The Ferryman,4.4
,6/17/1981,The Strange Case of Dr. Jekyll and Miss Osbourne,6.8
,9/4/1979,Disco Godfather,4.4
,10/21/1963,Crisis: Behind a Presidential Commitment,7.8
,1/31/1990,The China Lake Murders,0
,10/16/2013,9 Month Stretch,6.3
,4/1/1985,The Galaxy Invader,3.3
,11/20/2012,Marfa Girl,5.4
,12/24/1965,Bad Girls Go to Hell,5.1
,11/17/2009,ThanksKilling,4
,11/13/2012,ThanksKilling 3,2.8
,10/14/1967,The Stranger,7.2
,1/17/2013,Circles,7.9
,8/22/2013,Mr. Morgan's Last Love,6.9
,10/14/1995,Les Misérables: 10th Anniversary Concert at the Royal Albert Hall,8.5
,7/19/2013,Shed No Tears,6.2
,4/2/2010,Trigun: Badlands Rumble,7.4
,10/6/2013,Inside Llewyn Davis,7.2
,4/30/2009,The Wind Journeys,7.1
,12/25/2013,The Wolf of Wall Street,7.9
,11/27/2013,Homefront,6.4
,8/8/1985,Cut and Run,5.7
,9/19/1995,Cyberjack,7.3
,11/8/2007,Love Life,4.5
,1/12/2012,Marriage Material,8
,9/13/1978,Shadows of a Hot Summer,6
,9/13/1982,scissere,0
,1/1/1956,7th Cavalry,5.8
,6/15/2011,A Deeper Shade of Blue,8
,12/8/2011,Amen,6.3
,12/6/2013,Mandela: Long Walk to Freedom,6.5
,12/26/2013,August: Osage County,6.9
"{'id': 161766, 'name': 'Gamera Films', 'poster_path': '/oqZJgOoXjUcS9alAkzYzq9sCIfG.jpg', 'backdrop_path': '/8vNDD5NXSHhMEVJO4ItELGkZPNp.jpg'}",11/27/1965,Gamera,5.5
"{'id': 96887, 'name': 'Zatôichi: The Blind Swordsman', 'poster_path': '/8Q31DAtmFJjhFTwQGXghBUCgWK2.jpg', 'backdrop_path': '/bY8gLImMR5Pr9PaG3ZpobfaAQ8N.jpg'}",4/18/1962,The Tale of Zatôichi,7.2
"{'id': 96887, 'name': 'Zatôichi: The Blind Swordsman', 'poster_path': '/8Q31DAtmFJjhFTwQGXghBUCgWK2.jpg', 'backdrop_path': '/bY8gLImMR5Pr9PaG3ZpobfaAQ8N.jpg'}",10/12/1962,The Tale of Zatôichi Continues,7.3
,10/19/2013,Angels Sing,5.2
,3/21/2013,Amen,6.9
,9/6/2013,Violette,5.4
,11/1/2013,Concrete Night,6.4
,1/1/2007,Days of Darkness,5
,7/26/2013,Breaking the Girls,5.2
"{'id': 135466, 'name': 'Grave Encounters Collection', 'poster_path': '/1vLfiFfyJp95vpPDUfH3kRMxn5G.jpg', 'backdrop_path': '/9gKwnJbPjY65EVb5oFlbmY4qF2p.jpg'}",10/12/2012,Grave Encounters 2,5.2
"{'id': 210303, 'name': 'Rebuild of Evangelion', 'poster_path': '/9PYc1kLfWTjIWNgFcEpqSOn8MU3.jpg', 'backdrop_path': '/7XNGejHMPhWpniAmXmDUslXXcwC.jpg'}",11/17/2012,Evangelion: 3.0 You Can (Not) Redo,7.4
,3/16/2011,My Piece of the Pie,5.7
"{'id': 230161, 'name': 'Fright Night (Reboot) Collection', 'poster_path': '/j552uoYU3B45mIHLPBorkdoW0Mr.jpg', 'backdrop_path': '/9N1PbMkYJ5Zn2suUSHt38lAJnkD.jpg'}",8/31/2013,Fright Night 2: New Blood,4.4
,1/24/2013,Sweetwater,6
,9/10/2013,All Is Bright,5.3
,2/17/1999,True Heart,5.1
,12/6/2013,Tim's Vermeer,7.1
,9/20/2013,After Tiller,8.8
,7/24/2008,Lovecraft: Fear of the Unknown,6.8
,11/4/2011,Stuck Between Stations,6.3
"{'id': 161766, 'name': 'Gamera Films', 'poster_path': '/oqZJgOoXjUcS9alAkzYzq9sCIfG.jpg', 'backdrop_path': '/8vNDD5NXSHhMEVJO4ItELGkZPNp.jpg'}",4/17/1966,Gamera vs. Barugon,6.3
"{'id': 86024, 'name': 'Legally Blonde Collection', 'poster_path': '/kupFjC97HLSqG5CX47NsTJNEyAs.jpg', 'backdrop_path': '/aabPyPAA6E8hJ7tUipwunr3Itzb.jpg'}",4/28/2009,Legally Blondes,4.4
,12/12/2013,American Hustle,6.8
,12/18/2013,The Secret Life of Walter Mitty,7
,12/18/2013,Her,7.9
"{'id': 96887, 'name': 'Zatôichi: The Blind Swordsman', 'poster_path': '/8Q31DAtmFJjhFTwQGXghBUCgWK2.jpg', 'backdrop_path': '/bY8gLImMR5Pr9PaG3ZpobfaAQ8N.jpg'}",3/15/1963,New Tale of Zatôichi,6.6
"{'id': 96887, 'name': 'Zatôichi: The Blind Swordsman', 'poster_path': '/8Q31DAtmFJjhFTwQGXghBUCgWK2.jpg', 'backdrop_path': '/bY8gLImMR5Pr9PaG3ZpobfaAQ8N.jpg'}",8/10/1963,Zatôichi the Fugitive,7.2
,10/3/2009,RoboGeisha,5.8
,6/1/1972,The War Between Men and Women,7.7
,5/23/1969,The April Fools,6
,12/11/2007,Captain Abu Raed,7.4
,6/10/2008,The Man You Had in Mind,0
,5/17/2013,The Cosmonaut,4.9
,8/20/2013,Young & Beautiful,6.3
,12/17/1985,The Life & Adventures of Santa Claus,7
"{'id': 418219, 'name': 'Carmina - Colección', 'poster_path': '/6wvV8rtJZifXancPwHwvzd1j6ul.jpg', 'backdrop_path': None}",7/5/2012,Carmina or Blow Up,6.5
,1/1/1942,Malta G.C.,0
,4/28/1974,Cousin Angelica,5.5
,1/19/1935,Baboona,0
,5/3/1958,Stakeout on Dope Street,5
"{'id': 96887, 'name': 'Zatôichi: The Blind Swordsman', 'poster_path': '/8Q31DAtmFJjhFTwQGXghBUCgWK2.jpg', 'backdrop_path': '/bY8gLImMR5Pr9PaG3ZpobfaAQ8N.jpg'}",8/12/1970,Zatôichi Goes to the Fire Festival,5.8
,3/18/2013,The Challenger,7.1
,10/4/2013,Linsanity,6.7
,6/28/2013,Some Girl(s),5
,8/27/2011,Música Campesina,0
,12/24/1977,A Christmas Carol,5
,8/13/2013,Open Grave,5.9
,11/10/1989,The Dead Next Door,5.4
,5/9/1940,Ski Patrol,0
,9/26/2013,Sel8nne,8
,8/15/2001,The Fourth Angel,5.7
,10/30/2001,Route 666,4.9
,7/10/1960,The Rat Race,6.7
,12/9/2013,Six by Sondheim,7.3
,2/9/2003,Straight From the Heart,5
,11/29/2013,The Punk Singer,7.2
,1/1/1989,The Dead Pit,5.5
,10/27/2008,Dead Set,7
,9/22/1997,Dead Silence,5.3
"{'id': 354164, 'name': 'Lamù Collection', 'poster_path': None, 'backdrop_path': None}",2/11/1984,Urusei Yatsura 2: Beautiful Dreamer,7.1
,3/8/2006,I-See-You.Com,4.1
,1/28/2009,Pianomania,6.5
,12/24/2013,Lone Survivor,7.4
,1/1/1997,A Christmas Carol,5.7
,11/28/2004,A Christmas Carol,6.2
,11/23/2012,A Fairly Odd Christmas,5.4
"{'id': 96887, 'name': 'Zatôichi: The Blind Swordsman', 'poster_path': '/8Q31DAtmFJjhFTwQGXghBUCgWK2.jpg', 'backdrop_path': '/bY8gLImMR5Pr9PaG3ZpobfaAQ8N.jpg'}",11/30/1963,Zatôichi on the Road,7.5
,5/22/2013,Geography Club,6.5
,10/24/2012,Measuring the World,5.6
,7/13/2012,Three Stars,6
,1/19/1958,The Noose,7.5
,4/25/1973,Sambizanga,5
,3/14/2013,My Amityville Horror,5.9
,10/8/1995,Dead Weekend,2
,7/9/2011,"A Fairly Odd Movie: Grow Up, Timmy Turner!",4.7
,9/8/2013,The Armstrong Lie,6.9
